,NUM_AGE,TEXT_BANK,COUNT_0,COUNT_1
488,71,Equa bank a.s.,1,0
489,71,"Fio banka, a.s.",1,0
490,71,"Komerční banka, a.s.",1,0
491,71,"MONETA Money Bank, a.s.",1,0
492,71,"Československá obchodní banka, a.s.",1,0
493,71,"Česká spořitelna, a.s.",5,0
494,72,"Československá obchodní banka, a.s.",1,0
495,73,Air Bank a.s.,1,0
496,73,Equa bank a.s.,1,0
497,73,"MONETA Money Bank, a.s.",1,0
498,73,"Česká spořitelna, a.s.",3,1
499,74,"Komerční banka, a.s.",1,0
500,74,"Československá obchodní banka, a.s.",1,0
501,74,"Česká spořitelna, a.s.",1,0
502,75,"MONETA Money Bank, a.s.",1,0
503,75,"Česká spořitelna, a.s.",2,0
504,76,"Česká spořitelna, a.s.",2,0
505,80,"Česká spořitelna, a.s.",0,1
506,83,"Československá obchodní banka, a.s.",1,0
507,84,"Česká spořitelna, a.s.",1,0
