,CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET,age_range,GENDER,NAZOKRESU
29857,54101,18700,12000.0,"Česká spořitelna, a.s.",53,Žena,1,5,34,0,1,1600,1,43 - 55,1,Trutnov
29856,54101,18700,12000.0,"Česká spořitelna, a.s.",53,Žena,1,5,34,0,1,1600,1,43 - 55,1,Trutnov
29855,54101,18700,12000.0,"Česká spořitelna, a.s.",53,Žena,1,5,34,0,1,1600,1,43 - 55,1,Trutnov
29854,54101,18700,12000.0,"Česká spořitelna, a.s.",53,Žena,1,5,34,0,1,1600,1,43 - 55,1,Trutnov
29837,54101,18700,12000.0,"Česká spořitelna, a.s.",53,Žena,1,5,34,0,1,1600,1,43 - 55,1,Trutnov
29852,54101,18700,12000.0,"Česká spořitelna, a.s.",53,Žena,1,5,34,0,1,1600,1,43 - 55,1,Trutnov
44672,32600,73000,15000.0,Air Bank a.s.,43,Muž,0,78,40,0,1,1600,0,43 - 55,0,Plzeň-město
44671,32600,73000,15000.0,Air Bank a.s.,43,Muž,0,78,40,0,1,1600,0,43 - 55,0,Plzeň-město
44670,32600,73000,15000.0,Air Bank a.s.,43,Muž,0,78,40,0,1,1600,0,43 - 55,0,Plzeň-město
58832,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
59590,25225,42000,15000.0,"MONETA Money Bank, a.s.",49,Muž,0,37,92,0,0,1600,0,43 - 55,0,Praha-západ
44667,32600,73000,15000.0,Air Bank a.s.,43,Muž,0,78,40,0,1,1600,0,43 - 55,0,Plzeň-město
46356,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
46373,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
11180,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11182,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
29202,73514,30000,15000.0,"Česká spořitelna, a.s.",56,Žena,0,89,28,0,3,1600,0,56 - 68,1,Karviná
58826,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58827,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
46368,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
11174,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11175,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
