,CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET,AGE_RANGE,SCORE,GENDER
4147,39001,22000,8000.0,"Československá obchodní banka, a.s.",35,Muž,1,86,71,0,1,1800,0,30 - 42,934.7795120000005,0
4148,47001,25500,15000.0,"MONETA Money Bank, a.s.",22,Muž,0,37,88,0,1,250,0,18 - 29,5350.0067500000005,0
4149,29301,26000,15000.0,"Česká spořitelna, a.s.",24,Muž,1,88,77,0,1,1050,0,18 - 29,4429.167262,0
4150,67401,36500,10000.0,Equa bank a.s.,36,Muž,0,91,94,0,1,3900,0,30 - 42,-731.1906999999997,0
4151,39701,10000,1000.0,"Československá obchodní banka, a.s.",19,Žena,1,185,93,0,2,0,0,18 - 29,375.98491200000007,1
4152,41742,19000,1000.0,Equa bank a.s.,24,Muž,1,88,65,0,2,800,0,18 - 29,-544.985488,0
4153,38218,21000,10000.0,"Československá obchodní banka, a.s.",19,Muž,1,178,37,0,1,0,0,18 - 29,3758.6709120000005,0
4154,40722,20000,7000.0,"Česká spořitelna, a.s.",24,Žena,1,188,36,1,0,500,0,18 - 29,2055.610536,1
4155,41801,18500,4000.0,Equa bank a.s.,29,Muž,1,46,18,1,2,0,1,30 - 42,1503.6550360000003,0
4156,31200,20000,5000.0,Equa bank a.s.,27,Muž,1,37,10,1,1,650,0,18 - 29,1131.2205860000004,0
4157,18100,25000,5000.0,"Česká spořitelna, a.s.",44,Žena,0,86,38,0,2,5200,0,43 - 55,-4106.903546,1
4158,14000,34000,15000.0,"MONETA Money Bank, a.s.",54,Žena,0,89,91,0,0,2600,0,43 - 55,2644.7902540000005,1
4159,54101,12000,2000.0,"Česká spořitelna, a.s.",30,Žena,1,37,94,0,1,1000,0,30 - 42,-399.3740879999999,1
4160,73581,18000,3000.0,Air Bank a.s.,32,Muž,1,37,94,0,1,2850,0,30 - 42,-2153.2641379999995,0
4161,27601,13000,8000.0,"Komerční banka, a.s.",30,Muž,0,89,92,0,1,2400,1,30 - 42,243.92080000000033,0
4162,29501,22000,3000.0,"Česká spořitelna, a.s.",20,Žena,1,91,43,1,1,150,0,18 - 29,955.1190860000003,1
4163,73601,13000,4000.0,"Fio banka, a.s.",24,Žena,1,37,77,0,1,0,0,18 - 29,1503.5469120000002,1
4164,57101,20000,5000.0,"Česká spořitelna, a.s.",24,Muž,1,188,25,1,1,0,0,18 - 29,1879.5090360000004,0
4165,63500,19000,15000.0,Equa bank a.s.,20,Muž,1,89,69,0,1,350,0,18 - 29,5235.016362,0
4166,16003,24000,3000.0,"Česká spořitelna, a.s.",48,Žena,0,89,47,1,1,5300,0,43 - 55,-4973.624722,1
4167,27801,18500,3000.0,"MONETA Money Bank, a.s.",22,Muž,0,185,78,1,1,250,0,18 - 29,839.8668740000003,0
